words|counts
addresse|1
motion|2
lowd|2
shrunke|1
vanisht|1
honourd|1
sirs|3
troubles|2
top|8
toe|2
foote|3
yes|5
wore|1
beauer|1
lookt|2
frowningly|1
countenance|5
anger|1
red|3
constantly|1
amaz|1
staid|3
moderate|1
hundred|2
beard|6
grisly|1
sable|2
siluer|2
perchance|5
wake|2
warrant|5
assume|3
person|3
hell|10
gape|1
hitherto|2
conceald|1
bee|16
treble|1
silence|5
whatsoeuer|1
els|2
hap|1
requite|1
fare|6
ye|11
twixt|2
eleuen|1
honour|7
armes|9
foule|12
soule|33
deeds|1
rise|2
orewhelm|1
mens|3
eies|1
tertia|1
necessaries|1
imbark|1
winds|1
benefit|1
conuoy|1
assistant|2
sleepe|11
ophel|2
trifling|1
fauours|2
fashion|8
toy|2
bloude|1
violet|1
youth|14
primy|1
froward|1
permanent|1
lasting|2
suppliance|1
minute|1
cressant|1
grow|7
thewes|1
bulke|2
temple|1
waxes|2
inward|2
seruice|6
wide|4
withall|6
perhaps|5
soyle|1
cautell|1
besmerch|1
vertue|13
greatnesse|1
weigh|3
hee|21
himselfe|20
birth|2
vnuallued|1
persons|2
carue|1
choyce|3
depends|2
sanctity|1
circumscrib|1
yeelding|1
fits|2
wisedome|5
peculiar|2
sect|1
force|4
saying|1
deed|8
weight|1
losse|1
sustaine|1
credent|1
songs|2
chast|2
open|3
vnmastred|1
importunity|1
deare|9
keepe|17
reare|1
affection|4
shot|4
danger|4
chariest|1
maid|6
prodigall|2
enough|6
vnmaske|1
beauty|3
moone|4
scapes|1
calumnious|1
stroakes|1
canker|2
galls|2
infants|1
spring|3
buttons|1
disclos|2
liquid|1
contagious|1
blastments|1
imminent|1
wary|2
safety|4
lies|4
rebels|1
else|13
neere|9
ophe|56
effect|6
lesson|1
watchmen|1
vngracious|1
pastors|1
steepe|1
thorny|1
way|11
puft|1
recklesse|1
libertine|1
primrose|1
path|1
dalliance|1
treads|1
reaks|1
reade|2
double|6
blessing|5
